hotel_name,room_price
Emirates Grand Hotel Apartments -Near Burj Khalifa,5037
Millennium Central Downtown- Near Burj Khalifa,8346
ROVE Downtown Dubai,12220
Fairmont Dubai,15920
Gevora Hotel - World's Tallest Hotel,7896
Mercure Gold Hotel Al Mina Road - Near Dubai Frame,6677
Palazzo Versace Dubai,22900
Golden Sands Hotel Apartments Bur Dubai,8551
Grand Excelsior Hotel Bur Dubai,6281
Holiday International Hotel Bur Dubai,9276
Best Western Plus Pearl Creek- Deira,6162
Moon Valley Hotel Apartments Bur Dubai,8242
Grand Square Hotel,4137
Landmark Hotel,4391
Hyatt Regency Dubai,9116
CITY PALACE HOTEL,7185
Moscow Hotel,8292
Gateway Hotel,5590
Premier Inn Dubai Ibn Battuta Mall,5719
Armada BlueBay,5406
Majestic Premier Hotel Bur Dubai,8443
Aavri Hotel Deira,3705
Citymax Hotel Bur Dubai,7384
"Radisson Blu Hotel, Dubai Deira Creek",6502
Movenpick Grand Al Bustan,9685
Al Manar Deluxe Hotel Apartment,5605
Fortune Karama Hotel,4826
DoubleTree by Hilton Dubai M square Hotel & Residences,10110
Chelsea Plaza Hotel Dubai,4849
Jumeirah Emirates Towers,14369
